@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_MAG_V numeric
@attribute F5_PeakToPeak_on_ACC_X numeric
@attribute F6_PeakToPeak_on_ACC_Y numeric
@attribute F7_PeakToPeak_on_ACC_Z numeric
@attribute F8_PeakToPeak_on_MAG_V numeric
@attribute F9_MIN_on_ACC_X numeric
@attribute F10_MIN_on_ACC_Y numeric
@attribute F11_MIN_on_ACC_Z numeric
@attribute F12_MIN_on_MAG_V numeric
@attribute F13_MAX_on_ACC_X numeric
@attribute F14_MAX_on_ACC_Y numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MAX_on_MAG_V numeric
@attribute class {down_horizontally, down_vertically, up_horizontally, up_vertically}

@data
-0.0414124, 0.255127, 0.964355, 0, 0.04599, 0.282959, 1.06934, 0, -0.04599, 0, 0, 0, 0, 0.282959, 1.06934, 0, down_horizontally
-0.0460205, 0.283447, 1.07129, 0, 0, 0, 0, 0, -0.04599, 0.282959, 1.06934, 0, -0.04599, 0.282959, 1.06934, 0, down_horizontally
-0.0460205, 0.283447, 1.07129, 0, 0, 0, 0, 0, -0.04599, 0.282959, 1.06934, 0, -0.04599, 0.282959, 1.06934, 0, down_horizontally
0.0092926, 0.302734, 1.04785, 0, 0.0789795, 0.027832, 0.0332031, 0, -0.04599, 0.282959, 1.03613, 0, 0.0329895, 0.310791, 1.06934, 0, down_horizontally
0.03302, 0.311035, 1.03809, 0, 0, 0, 0, 0, 0.0329895, 0.310791, 1.03613, 0, 0.0329895, 0.310791, 1.03613, 0, down_horizontally
0.03302, 0.311035, 1.03809, 0, 0, 0, 0, 0, 0.0329895, 0.310791, 1.03613, 0, 0.0329895, 0.310791, 1.03613, 0, down_horizontally
-0.012001, 0.299316, 1.03125, 0, 0.0899658, 0.0239258, 0.0136719, 0, -0.0569763, 0.286865, 1.02246, 0, 0.0329895, 0.310791, 1.03613, 0, down_horizontally
-0.0570374, 0.287354, 1.02441, 0, 0, 0, 0, 0, -0.0569763, 0.286865, 1.02246, 0, -0.0569763, 0.286865, 1.02246, 0, down_horizontally
-0.0570374, 0.287354, 1.02441, 0, 0, 0, 0, 0, -0.0569763, 0.286865, 1.02246, 0, -0.0569763, 0.286865, 1.02246, 0, down_horizontally
-0.0669556, 0.265625, 1.01758, 0, 0.0329895, 0.072876, 0.0239258, 0, -0.0899658, 0.213989, 0.998535, 0, -0.0569763, 0.286865, 1.02246, 0, down_horizontally
