STEVAL-MKI197V1 (LSM6DSOX)

A_X [LSB] 	  A_Y [LSB] 	  A_Z [LSB] 	 A_X [mg] 	  A_Y [mg] 	  A_Z [mg] 	 Prs [LSB] 	 Prs [hPa]
-789 	  1531 	  12653 	 -48 	  93 	  771 	 4127067 	  1007.58	
-789 	  1531 	  12653 	 -48 	  93 	  771 	 4127067 	  1007.58	
-789 	  1531 	  12653 	 -48 	  93 	  771 	 4127067 	  1007.58	
-789 	  1531 	  12653 	 -48 	  93 	  771 	 4127067 	  1007.58	
-789 	  1531 	  12653 	 -48 	  93 	  771 	 4127067 	  1007.58	
-789 	  1531 	  12653 	 -48 	  93 	  771 	 4127067 	  1007.58	
-789 	  1531 	  12653 	 -48 	  93 	  771 	 4127067 	  1007.58	
-789 	  1531 	  12653 	 -48 	  93 	  771 	 4127067 	  1007.58	
-789 	  1531 	  12653 	 -48 	  93 	  771 	 4127067 	  1007.58	
-789 	  1531 	  12653 	 -48 	  93 	  771 	 4127067 	  1007.58	
-789 	  1531 	  12653 	 -48 	  93 	  771 	 4127067 	  1007.58	
-789 	  1531 	  12653 	 -48 	  93 	  771 	 4127067 	  1007.58	
-789 	  1531 	  12653 	 -48 	  93 	  771 	 4127067 	  1007.58	
-789 	  1531 	  12653 	 -48 	  93 	  771 	 4127067 	  1007.58	
-789 	  1531 	  12653 	 -48 	  93 	  771 	 4127067 	  1007.58	
-789 	  1531 	  12653 	 -48 	  93 	  771 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1234 	  1544 	  11701 	 75 	  94 	  713 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
1362 	  -2044 	  3741 	 83 	  -124 	  228 	 4127067 	  1007.58	
2129 	  -2657 	  3420 	 129 	  -162 	  208 	 4127067 	  1007.58	
2129 	  -2657 	  3420 	 129 	  -162 	  208 	 4127067 	  1007.58	
2129 	  -2657 	  3420 	 129 	  -162 	  208 	 4127067 	  1007.58	
2129 	  -2657 	  3420 	 129 	  -162 	  208 	 4127067 	  1007.58	
2129 	  -2657 	  3420 	 129 	  -162 	  208 	 4127067 	  1007.58	
2129 	  -2657 	  3420 	 129 	  -162 	  208 	 4127067 	  1007.58	
2129 	  -2657 	  3420 	 129 	  -162 	  208 	 4127067 	  1007.58	
2129 	  -2657 	  3420 	 129 	  -162 	  208 	 4127067 	  1007.58	
2129 	  -2657 	  3420 	 129 	  -162 	  208 	 4127067 	  1007.58	
2129 	  -2657 	  3420 	 129 	  -162 	  208 	 4127067 	  1007.58	
2129 	  -2657 	  3420 	 129 	  -162 	  208 	 4127067 	  1007.58	
